Well Name,Depth,Facies,GR,AC,DEN,K
JY11-4,2251,1,153.283,208.917,2.637,3.647
JY11-4,2252.125,1,131.242,229.899,2.682,3.746
JY11-4,2252.25,1,112.105,220.857,2.681,3.082
JY11-4,2252.375,1,99.377,206.779,2.676,2.617
JY11-4,2252.5,1,98.209,192.924,2.666,2.439
JY11-4,2252.625,1,102.866,187.758,2.655,2.349
JY11-4,2252.75,1,103.858,188.059,2.65,2.262
JY11-4,2252.875,1,96.011,186.762,2.65,2.114
JY11-4,2253.5,1,91.981,184.692,2.644,1.846
JY11-4,2253.625,1,97.823,188.307,2.641,1.946
JY11-4,2253.75,1,101.556,190.935,2.641,1.98
JY11-4,2253.875,1,103.668,193.752,2.643,2.024
JY11-4,2254,1,103.168,194.265,2.647,1.996
JY11-4,2254.125,1,100.926,192.839,2.65,1.883
JY11-4,2254.25,1,99.986,194.152,2.649,1.765
JY11-4,2255,1,79.855,186.602,2.631,1.172
JY11-4,2255.125,1,79.181,182.998,2.621,1.188
JY11-4,2255.25,1,80.43,181.274,2.614,1.209
JY11-4,2255.375,1,85.225,182.225,2.611,1.267
JY11-4,2255.5,1,96.691,191.798,2.613,1.449
JY11-4,2255.625,1,115.082,208.854,2.619,1.742
JY11-4,2255.75,1,131.424,224.409,2.629,1.971
JY11-4,2255.875,1,136.17,231.133,2.642,2.01
JY11-4,2256,1,124.485,229.295,2.653,1.838
JY11-4,2256.125,1,105.093,217.858,2.653,1.507
JY11-4,2256.25,1,87.226,201.19,2.637,1.184
JY11-4,2256.375,1,77.1,187.589,2.613,1.021
JY11-4,2256.5,1,73.577,182.959,2.595,0.977
JY11-4,2256.625,1,75.087,183.193,2.59,1.009
JY11-4,2256.75,1,81.11,185.263,2.596,1.234
JY11-4,2256.875,1,91.729,188.139,2.605,1.703
JY11-4,2257,1,107.123,192.85,2.611,2.301
JY11-4,2257.125,1,124.002,202.108,2.614,2.916
JY11-4,2257.25,1,137.271,213.685,2.617,3.404
JY11-4,2257.375,1,142.172,220.088,2.62,3.582
JY11-4,2257.5,1,139.292,220.458,2.622,3.45
JY11-4,2257.625,1,132.202,219.655,2.622,3.211
JY11-4,2257.75,1,123.149,214.159,2.625,2.937
JY11-4,2257.875,1,112.639,204.316,2.63,2.51
JY11-4,2258,1,101.948,199.191,2.634,2.031
JY11-4,2258.125,1,94.431,196.903,2.635,1.763
JY11-4,2258.25,1,90.457,191.98,2.632,1.71
JY11-4,2258.375,1,88.139,188.737,2.631,1.695
JY11-4,2258.5,1,85.953,189.158,2.633,1.653
JY11-4,2258.625,1,84.202,188.997,2.638,1.563
JY11-4,2258.75,1,82.544,187.12,2.644,1.424
JY11-4,2258.875,1,80.163,185.324,2.65,1.293
JY11-4,2259,1,78.11,183.991,2.655,1.209
JY11-4,2259.125,1,78.157,184.253,2.658,1.155
JY11-4,2259.25,1,80.097,184.64,2.657,1.119
JY11-4,2259.375,1,83.282,183.201,2.649,1.132
JY11-4,2259.5,1,88.966,181.381,2.641,1.256
JY11-4,2259.625,1,96.921,182.475,2.639,1.442
JY11-4,2259.75,1,102.749,184.566,2.649,1.518
JY11-4,2259.875,1,99.56,184.798,2.665,1.394
JY11-4,2260,1,87.872,183.278,2.681,1.18
JY11-4,2260.125,1,72.961,179.953,2.693,1.012
JY11-4,2260.25,1,61.906,175.394,2.698,0.932
JY11-4,2260.375,1,56.331,174.03,2.697,0.896
JY11-4,2260.5,1,56.033,177.54,2.692,0.856
JY11-4,2260.625,1,58.805,182.922,2.682,0.791
JY11-4,2260.75,1,62.122,188.135,2.672,0.709
JY11-4,2260.875,1,64.706,194.746,2.663,0.644
JY11-4,2261,1,66.467,203.228,2.655,0.615
JY11-4,2261.125,1,67.268,209.632,2.647,0.61
JY11-4,2261.25,1,67.183,209.857,2.636,0.616
JY11-4,2261.375,1,66.982,206.245,2.627,0.635
JY11-4,2261.5,1,67.337,199.549,2.62,0.68
JY11-4,2265.125,2,157.848,220.712,2.722,4
JY11-4,2265.25,2,158.666,218.015,2.726,3.978
JY11-4,2265.375,2,159.859,217.003,2.72,3.978
JY11-4,2265.75,2,159.856,221.967,2.693,4.108
JY11-4,2265.875,2,159.99,225.382,2.688,4.111
JY11-4,2266,2,159.624,228.794,2.684,4.081
JY11-4,2266.75,2,159.481,230.419,2.706,4.108
JY11-4,2266.875,2,158.711,227.974,2.706,4.102
JY11-4,2267,2,157.415,225.114,2.701,4.072
JY11-4,2267.625,2,154.93,232.759,2.683,4.015
JY11-4,2267.75,2,158.615,235.14,2.681,4.003
JY11-4,2267.875,2,162.738,235.912,2.683,3.982
JY11-4,2268.625,2,163.259,238.259,2.657,4.174
JY11-4,2268.75,2,161.386,238.078,2.658,4.279
JY11-4,2268.875,2,160.316,237.593,2.663,4.396
JY11-4,2269.625,2,158.366,234.939,2.679,4.674
JY11-4,2269.75,2,159.951,234.672,2.686,4.596
JY11-4,2269.875,2,162.662,234.889,2.69,4.515
JY11-4,2270,1,164.005,235.474,2.691,4.45
JY11-4,2270.125,1,163.181,235.905,2.69,4.43
JY11-4,2270.75,2,164.481,234.086,2.671,4.497
JY11-4,2270.875,2,162.038,234.211,2.669,4.423
JY11-4,2271,2,159.34,234.814,2.67,4.389
JY11-4,2271.625,2,162.575,241.822,2.697,4.442
JY11-4,2271.75,2,162.644,243.424,2.695,4.49
JY11-4,2271.875,2,163.555,244.89,2.693,4.47
JY11-4,2272.5,2,164.061,251.363,2.696,4.456
JY11-4,2272.625,2,162.007,249.104,2.708,4.565
JY11-4,2272.75,2,162.149,246.529,2.722,4.687
JY11-4,2273,2,175.889,247.28,2.738,4.878
JY11-4,2273.125,2,182.417,249.446,2.726,4.92
JY11-4,2273.25,2,184.495,253.503,2.706,4.928
JY11-4,2273.375,2,183.122,257.063,2.691,4.897
JY11-4,2273.5,2,181.825,258.377,2.685,4.823
JY11-4,2273.625,2,181.409,258.895,2.687,4.728
JY11-4,2273.75,2,180.309,259.695,2.689,4.637
JY11-4,2273.875,2,178.423,260.409,2.689,4.554
JY11-4,2274,2,176.88,260.41,2.687,4.467
JY11-4,2274.375,2,171.291,261.533,2.699,4.034
JY11-4,2274.5,2,170.148,262.113,2.699,3.968
JY11-4,2274.625,2,170.607,262.844,2.693,3.972
JY11-4,2275.625,2,177.384,261.546,2.685,5.295
JY11-4,2275.75,2,176.996,261.43,2.684,5.314
JY11-4,2275.875,2,174.653,261.158,2.681,5.247
JY11-4,2276.375,2,170.457,266.26,2.688,4.599
JY11-4,2276.5,2,171.153,268.807,2.692,4.533
JY11-4,2276.625,2,172.41,270.942,2.691,4.508
JY11-4,2277.5,2,169.888,269.331,2.682,4.784
JY11-4,2277.625,2,167.773,263.57,2.687,4.63
JY11-4,2277.75,2,164.226,257.785,2.699,4.456
JY11-4,2278.5,2,168.896,270.651,2.696,4.402
JY11-4,2278.625,2,168.164,270.273,2.691,4.519
JY11-4,2278.75,2,166.007,269.669,2.688,4.615
JY11-4,2279.75,2,165.103,264.721,2.668,4.294
JY11-4,2279.875,2,165.631,263.647,2.669,4.292
JY11-4,2280,2,164.353,262.851,2.672,4.276
JY11-4,2281,2,170.103,265.786,2.668,3.992
JY11-4,2281.125,2,172.508,267.673,2.665,3.969
JY11-4,2281.25,2,175.654,269.241,2.659,3.922
JY11-4,2282,2,173.175,266.983,2.661,4.302
JY11-4,2282.125,2,171.665,266.275,2.665,4.54
JY11-4,2282.25,2,172.004,265.695,2.67,4.705
JY11-4,2283,2,174.995,261.051,2.677,4.217
JY11-4,2283.125,2,177.342,259.542,2.676,4.115
JY11-4,2283.25,2,183.386,257.444,2.673,4.08
JY11-4,2283.625,2,197.481,252.389,2.653,4.378
JY11-4,2283.75,2,197.213,251.26,2.647,4.409
JY11-4,2283.875,2,196.836,251.889,2.642,4.429
JY11-4,2285,2,164.452,273.11,2.507,3.538
JY11-4,2285.125,2,161.596,283.052,2.447,3.467
JY11-4,2285.25,2,158.791,284.242,2.414,3.388
JY11-4,2285.5,2,151.744,257.208,2.475,3.27
JY11-4,2285.625,2,149.637,234.968,2.537,3.245
JY11-4,2285.75,2,148.424,227.431,2.583,3.247
JY11-4,2285.875,2,146.667,226.966,2.601,3.274
JY11-4,2286,2,143.487,222.629,2.604,3.314
JY11-4,2286.125,2,137.622,213.431,2.609,3.313
JY11-4,2286.25,2,127.198,203.654,2.627,3.175
JY11-4,2286.375,2,113.507,194.178,2.653,2.924
JY11-4,2286.5,2,99.762,186.974,2.677,2.738
JY11-4,2286.625,2,91.232,186.189,2.689,2.687
JY11-4,2286.75,2,89.517,193.297,2.688,2.684
JY11-4,2287,2,115.013,235.32,2.642,3.279
JY11-4,2287.25,2,137.358,257.743,2.619,3.804
JY11-4,2287.375,2,139.107,260.851,2.621,3.928
JY11-4,2287.5,2,142.982,263.559,2.622,4.107
JY11-4,2287.625,2,149.485,266.861,2.621,4.238
JY11-4,2288.75,2,175.295,266.702,2.647,4.356
JY11-4,2289,2,173.896,266.398,2.659,4.19
JY11-4,2289.125,2,173.91,265.489,2.655,4.153
JY11-4,2289.25,2,174.92,264.535,2.649,4.149
JY11-4,2289.375,2,176.34,263.425,2.643,4.15
JY11-4,2289.625,2,188.559,244.51,2.639,3.929
JY11-4,2290.5,2,230.905,267.009,2.616,3.892
JY11-4,2290.625,2,231.72,263.816,2.61,3.84
JY11-4,2290.75,2,226.221,259.268,2.604,3.744
JY11-4,2291,2,194.391,240.299,2.646,2.585
JY11-4,2291.125,2,198.053,241.618,2.65,2.698
JY11-4,2291.25,2,206.598,246.819,2.65,2.882
JY11-4,2291.375,2,192.676,276.221,2.671,4.296
JY11-4,2291.625,2,196.519,281.65,2.64,4.534
JY11-4,2292.5,2,198.884,289.937,2.624,5.018
JY11-4,2292.625,2,199.276,290.707,2.617,4.95
JY11-4,2293.75,2,202.439,289.176,2.616,4.426
JY11-4,2293.875,2,205.146,287.485,2.617,4.349
JY11-4,2294.5,2,183.352,274.199,2.653,3.853
JY11-4,2295.125,2,184.55,275.827,2.657,3.846
JY11-4,2295.25,2,207.038,292.488,2.625,4.209
JY11-4,2295.875,2,191.198,288.088,2.627,4.185
JY11-4,2296,2,196.747,288.147,2.644,3.901
JY11-4,2297,2,153.892,237.748,2.687,2.783
JY11-4,2297.125,2,144.007,234.656,2.682,2.869
JY11-4,2297.25,2,153.408,244.324,2.64,3.341
JY11-4,2299.125,2,153.868,237.22,2.645,3.432
JY11-4,2299.25,2,152.584,236.018,2.649,3.268
JY11-4,2299.375,2,144.601,233.366,2.661,2.267
JY11-4,2300,2,143.744,233.068,2.658,2.312
JY11-4,2300.125,2,140.831,232.61,2.661,2.43
JY11-4,2300.25,2,147.502,233.93,2.627,3.597
JY11-4,2300.875,2,148.899,233.436,2.625,3.702
JY11-4,2301,2,148.456,232.837,2.629,3.784
JY11-4,2301.125,2,149.76,241.222,2.647,3.734
JY11-4,2301.625,2,149.311,241.346,2.648,3.722
JY11-4,2301.75,2,148.926,240.264,2.649,3.706
JY11-4,2301.875,2,153.795,238.648,2.647,3.803
JY11-4,2302.875,2,154.394,240.498,2.646,3.872
JY11-4,2303,2,155.773,242.861,2.643,3.915
JY11-4,2303.125,2,156.869,244.405,2.638,3.93
JY11-4,2303.875,2,156.614,245.279,2.633,3.887
JY11-4,2304,2,155.87,245.825,2.627,3.795
JY11-4,2304.125,2,155.477,245.856,2.622,3.71
JY11-4,2304.75,2,156.749,245.55,2.619,3.665
JY11-4,2304.875,2,159.43,245.025,2.619,3.643
JY11-4,2305,2,161.593,243.657,2.623,3.632
JY11-4,2305.875,2,160.766,241.068,2.628,3.621
JY11-4,2306,2,156.531,237.795,2.636,3.601
JY11-4,2306.125,2,151.433,235.002,2.645,3.539
JY11-4,2307,2,149.198,233.557,2.652,3.408
JY11-4,2307.125,2,151.132,234.067,2.652,3.254
JY11-4,2307.25,2,156.826,236.277,2.647,3.14
JY11-4,2307.375,2,162.899,239.164,2.64,3.065
JY11-4,2307.5,2,166.481,241.32,2.636,3.002
JY11-4,2307.625,2,167.077,242.35,2.634,2.966
JY11-4,2307.75,2,166.698,242.633,2.634,2.971
JY11-4,2307.875,2,158.243,241.83,2.632,3.195
JY11-4,2308,2,154.257,241.027,2.632,3.257
JY11-4,2308.125,2,152.184,239.881,2.636,3.265
JY11-4,2308.25,2,149.925,234.669,2.634,2.924
JY11-4,2308.375,2,152.562,236.069,2.635,2.973
JY11-4,2308.5,2,154.054,238.551,2.635,3.085
JY11-4,2308.625,2,156.777,244.683,2.626,3.296
JY11-4,2308.75,2,159.148,247.228,2.622,3.407
JY11-4,2308.875,2,161.285,248.519,2.62,3.533
JY11-4,2309,2,162.185,248.682,2.617,3.637
JY11-4,2309.125,2,162.264,248.418,2.612,3.708
JY11-4,2309.25,2,162.393,247.679,2.607,3.746
JY11-4,2309.375,2,162.331,240.733,2.615,3.657
JY11-4,2309.875,2,163.005,239.587,2.617,3.62
JY11-4,2310,2,162.535,239.412,2.617,3.615
JY11-4,2310.125,2,214.533,249.866,2.645,3.773
JY11-4,2310.75,2,223.144,246.406,2.649,3.738
JY11-4,2310.875,2,218.058,241.36,2.652,3.709
JY11-4,2311,2,170.755,241.451,2.625,3.446
JY11-4,2311.625,2,173.461,240.528,2.632,3.052
JY11-4,2311.75,2,175.602,239.085,2.63,3.043
JY11-4,2311.875,2,178.363,238.04,2.628,3.128
JY11-4,2312.375,2,179.257,236.032,2.629,3.288
JY11-4,2312.5,2,177.016,234.305,2.63,3.421
JY11-4,2312.625,2,172.866,234.067,2.627,3.465
JY11-4,2313.5,2,169.885,234.033,2.619,3.469
JY11-4,2313.625,2,163.122,245.269,2.62,2.742
JY11-4,2313.75,2,164.722,245.513,2.631,2.803
JY11-4,2314.625,2,165.655,245.628,2.641,2.935
JY11-4,2314.75,2,163.354,237.989,2.623,3.755
JY11-4,2314.875,2,163.965,238.676,2.624,3.735
JY11-4,2315,2,165.205,239.877,2.628,3.65
JY11-4,2315.125,2,156.273,237.38,2.644,3.33
JY11-4,2315.25,2,156.191,235.604,2.651,3.345
JY11-4,2315.375,2,155.07,232.663,2.659,3.369
JY11-4,2315.5,2,161.454,238.713,2.66,3.665
JY11-4,2315.625,2,164.328,241.12,2.655,3.759
JY11-4,2315.75,2,163.985,241.032,2.653,3.792
JY11-4,2315.875,2,160.193,238.127,2.627,3.562
JY11-4,2316.75,2,160.856,237.507,2.627,3.444
JY11-4,2316.875,2,162.622,236.828,2.63,3.313
JY11-4,2317,2,157.995,243.378,2.641,3.424
JY11-4,2317.75,2,160.327,243.024,2.633,3.453
JY11-4,2317.875,2,162.228,240.052,2.628,3.471
JY11-4,2318,2,169.966,260.624,2.613,3.599
JY11-4,2318.75,2,167.504,263.382,2.613,3.597
JY11-4,2318.875,2,166.597,266.186,2.615,3.642
JY11-4,2319,2,178.419,270.606,2.616,3.826
JY11-4,2319.625,2,180.344,270.149,2.608,3.751
JY11-4,2319.75,2,177.43,268.891,2.602,3.639
JY11-4,2319.875,2,172.414,271.85,2.605,3.278
JY11-4,2320.875,2,171.81,270.648,2.603,3.158
JY11-4,2321,2,169.281,269.024,2.602,3.055
JY11-4,2321.125,2,166.736,266.175,2.605,3.262
JY11-4,2322.375,2,167.894,266.695,2.602,3.365
JY11-4,2322.5,2,168.561,267.001,2.599,3.493
JY11-4,2322.625,2,169.127,267.728,2.618,3.696
JY11-4,2323.875,2,168.774,267.358,2.609,3.635
JY11-4,2324,2,166.464,266.161,2.598,3.559
JY11-4,2324.125,2,163.085,263.835,2.591,3.313
JY11-4,2324.625,2,163.573,263.887,2.593,3.126
JY11-4,2324.75,2,164.119,264.41,2.594,2.912
JY11-4,2324.875,2,164.015,264.835,2.592,2.716
JY11-4,2326.125,2,163.905,264.559,2.592,2.574
JY11-4,2326.25,2,164.123,263.51,2.596,2.486
JY11-4,2326.375,2,163.809,262.657,2.606,2.441
JY11-4,2327,2,163.1,262.497,2.614,2.462
JY11-4,2327.125,2,162.834,262.397,2.613,2.578
JY11-4,2327.25,2,165.279,262.636,2.593,2.872
JY11-4,2328.125,2,166.6,262.389,2.584,2.901
JY11-4,2328.25,2,167.408,261.522,2.577,2.876
JY11-4,2328.375,2,175.077,263.683,2.571,2.695
JY11-4,2328.625,2,176.341,264.705,2.57,2.679
JY11-4,2328.75,2,178.067,266.093,2.57,2.646
JY11-4,2328.875,2,179.01,270.227,2.57,2.805
JY11-4,2329,2,180.449,270.77,2.567,2.863
JY11-4,2329.125,2,180.047,269.798,2.566,2.905
JY11-4,2329.25,2,198.448,270.63,2.587,2.905
JY11-4,2329.375,2,206.855,268.563,2.594,2.901
JY11-4,2329.5,2,216.506,266.748,2.601,2.915
JY11-4,2329.625,2,181.873,255.288,2.586,2.528
JY11-4,2329.875,2,184.478,253.087,2.585,2.525
JY11-4,2330,2,194.863,254.481,2.585,2.617
JY11-4,2330.125,2,206.087,271.189,2.603,3.502
JY11-4,2330.875,2,205.397,271.861,2.601,3.416
JY11-4,2331,2,207.143,272.663,2.598,3.29
JY11-4,2331.125,2,196.362,260.902,2.607,3.577
JY11-4,2332.5,2,192.422,257.624,2.613,3.64
JY11-4,2332.625,2,188.826,253.416,2.617,3.648
JY11-4,2332.75,2,179.002,243.366,2.616,3.408
JY11-4,2333.375,2,177.646,242.935,2.619,3.318
JY11-4,2333.5,2,178.672,244.103,2.619,3.24
JY11-4,2333.625,2,179.444,240.697,2.617,2.824
JY11-4,2334.375,2,182.431,239.975,2.617,2.822
JY11-4,2334.5,2,182.045,239.408,2.617,2.832
JY11-4,2334.625,2,172.97,234.333,2.635,3.577
JY11-4,2335.375,2,173.468,233.847,2.627,3.57
JY11-4,2335.5,2,173.38,236.201,2.612,3.547
JY11-4,2335.625,2,166.064,241.368,2.588,2.7
JY11-4,2336.5,2,170.419,240.527,2.586,2.706
JY11-4,2336.625,2,172.534,239.605,2.583,2.764
JY11-4,2336.75,2,198.556,253.737,2.617,3.318
JY11-4,2337.125,2,197.41,253.592,2.614,3.133
JY11-4,2337.25,2,192.841,251.304,2.611,2.881
JY11-4,2337.375,2,187.372,242.073,2.595,2.318
JY11-4,2338.25,2,191.513,243.541,2.584,2.33
JY11-4,2338.375,2,195.9,245.708,2.573,2.394
JY11-4,2338.5,2,202.469,252.7,2.572,2.697
JY11-4,2339.625,2,200.515,251.951,2.569,2.698
JY11-4,2339.75,2,200.661,251.757,2.567,2.717
JY11-4,2339.875,2,203.276,256.572,2.572,2.795
JY11-4,2341.25,2,202.268,255.609,2.569,2.799
JY11-4,2341.375,2,198.601,254.336,2.567,2.788
JY11-4,2341.5,2,192.571,252.486,2.561,2.733
JY11-4,2342.125,2,196.875,253.184,2.558,2.728
JY11-4,2342.25,2,201.49,254.494,2.557,2.745
JY11-4,2342.375,2,204.439,255.558,2.56,2.779
JY11-4,2343.125,2,204.158,255.435,2.563,2.815
JY11-4,2343.25,2,199.854,253.041,2.566,2.844
JY11-4,2343.375,2,191.476,248.557,2.569,2.838
JY11-4,2344.25,2,182.745,245.123,2.572,2.776
JY11-4,2344.375,2,177.904,244.055,2.576,2.682
JY11-4,2344.5,2,180.647,244.524,2.577,2.572
JY11-4,2345.375,2,189.015,246.284,2.578,2.389
JY11-4,2345.5,2,200.906,249.611,2.585,2.259
JY11-4,2345.625,2,196.245,248.016,2.591,2.439
JY11-4,2346,2,191.263,247.132,2.597,2.584
JY11-4,2346.125,2,206.914,252.55,2.583,2.828
JY11-4,2346.25,2,207.291,251.464,2.577,2.876
JY11-4,2346.375,2,203.996,248.337,2.574,2.971
JY11-4,2346.5,2,203.621,256.037,2.543,2.879
JY11-4,2346.625,2,203.081,256.178,2.547,2.892
JY11-4,2346.75,2,201.408,256.412,2.547,2.9
JY11-4,2346.875,2,195.862,257.427,2.532,2.91
JY11-4,2347,2,193.378,257.677,2.533,2.904
JY11-4,2347.125,2,195.024,257.572,2.532,2.855
JY11-4,2347.25,2,172.133,249.371,2.538,1.987
JY11-4,2347.625,2,174.314,249.049,2.543,2.015
JY11-4,2347.75,2,175.692,247.99,2.544,2.045
JY11-4,2347.875,2,167.934,246.477,2.543,2.227
JY11-4,2348.5,2,171.757,245.444,2.531,2.2
JY11-4,2348.625,2,176.881,244.913,2.52,2.18
JY11-4,2348.75,2,197.305,245.833,2.505,2.066
JY11-4,2350.125,2,196.232,247.136,2.504,2.035
JY11-4,2350.25,2,196.303,249.751,2.507,1.993
JY11-4,2350.375,2,216.699,251.314,2.487,1.698
JY11-4,2351.125,2,218.656,252.587,2.491,1.693
JY11-4,2351.25,2,217.274,253.937,2.496,1.696
JY11-4,2351.375,2,337.253,264.497,2.477,1.71
JY11-4,2352.25,2,356.106,258.039,2.472,1.533
JY11-4,2352.375,2,343.032,246.535,2.488,1.458
JY11-4,2352.5,2,195.852,257.657,2.524,1.908
JY11-4,2353.25,2,190.887,255.75,2.511,1.963
JY11-4,2353.375,2,183.363,250.557,2.503,2.013
JY11-4,2353.5,2,180.706,244.078,2.519,1.234
JY11-4,2354.375,2,177.142,245.377,2.508,1.167
JY11-4,2354.5,2,181.327,246.697,2.499,1.204
JY11-4,2354.625,2,181.015,252.122,2.498,2.03
JY11-4,2355.625,2,174.749,249.314,2.498,2.142
JY11-4,2355.75,2,166.82,247.208,2.495,2.233
JY11-4,2355.875,2,120.891,258.705,2.56,2.12
JY11-4,2356.75,2,123.442,260.115,2.56,2.206
JY11-4,2356.875,2,130.404,263.127,2.555,2.28
JY11-4,2357,2,177.772,282.766,2.543,4.249
JY41-5,2494.5,2,165.888,238.551,2.742,4.437
JY41-5,2494.625,2,164.232,238.706,2.745,4.403
JY41-5,2496.625,2,164.439,238.303,2.723,5.107
JY41-5,2496.75,2,165.382,240.761,2.731,5.155
JY41-5,2496.875,2,165.65,242.55,2.738,5.209
JY41-5,2502.25,1,170.613,233.924,2.718,5.342
JY41-5,2502.375,1,166.583,232.456,2.712,5.192
JY41-5,2502.5,1,160.729,231.785,2.707,5.101
JY41-5,2502.625,1,158.16,232.531,2.704,4.974
JY41-5,2503.375,1,171.199,242.725,2.726,4.958
JY41-5,2503.5,1,174.744,243.383,2.734,5.089
JY41-5,2503.625,1,176.548,244.149,2.736,5.222
JY41-5,2508,1,89.398,198.598,2.66,1.418
JY41-5,2508.125,1,90.29,198.407,2.665,1.55
JY41-5,2508.25,1,90.675,198.382,2.666,1.643
JY41-5,2508.375,1,90.239,198.727,2.664,1.698
JY41-5,2508.5,1,90.293,199.637,2.662,1.75
JY41-5,2508.625,1,92.36,200.983,2.661,1.792
JY41-5,2508.75,1,95.2,202.542,2.661,1.754
JY41-5,2508.875,1,95.399,203.84,2.658,1.635
JY41-5,2509,1,92.413,204.339,2.655,1.491
JY41-5,2509.125,1,88.891,203.738,2.649,1.394
JY41-5,2509.25,1,86.698,202.094,2.643,1.322
JY41-5,2509.375,1,85.319,199.835,2.638,1.245
JY41-5,2509.5,1,84.053,197.367,2.633,1.19
JY41-5,2509.625,1,83.363,195.333,2.626,1.147
JY41-5,2509.75,1,84.698,194.182,2.616,1.101
JY41-5,2509.875,1,88.621,194.229,2.606,1.125
JY41-5,2510,1,94.56,195.297,2.599,1.314
JY41-5,2510.125,1,101.495,197.098,2.594,1.535
JY41-5,2510.25,1,107.449,199.423,2.587,1.637
JY41-5,2510.375,1,111.332,201.981,2.576,1.661
JY41-5,2510.5,1,111.996,204.724,2.568,1.632
JY41-5,2510.625,1,108.866,207.803,2.569,1.441
JY41-5,2510.75,1,102.677,211.188,2.577,1.197
JY41-5,2510.875,1,95.448,214.656,2.583,1.11
JY41-5,2511,1,89.072,217.661,2.579,1.124
JY41-5,2511.125,1,84.427,219.639,2.567,1.148
JY41-5,2511.25,1,83.135,219.946,2.553,1.281
JY41-5,2511.375,1,86.135,218.708,2.542,1.515
JY41-5,2511.5,1,93.129,217.077,2.538,1.756
JY41-5,2511.625,1,102.801,216.58,2.545,2.151
JY41-5,2511.75,1,116.386,218.187,2.563,2.864
JY41-5,2511.875,1,136.575,222.339,2.591,3.767
JY41-5,2512,1,160.315,229.064,2.624,4.492
JY41-5,2512.125,1,180.526,236.33,2.66,4.919
JY41-5,2512.25,1,188.658,242.226,2.693,5.011
JY41-5,2512.375,1,187.331,245.357,2.719,4.976
JY41-5,2512.5,1,182.253,246.017,2.737,4.9
JY41-5,2512.625,1,177.715,244.469,2.749,4.734
JY41-5,2512.75,1,173.028,241.397,2.756,4.518
JY41-5,2512.875,1,167.059,237.604,2.757,4.377
JY41-5,2514.125,1,149.036,219.814,2.697,2.973
JY41-5,2514.25,1,149.769,222.147,2.701,3.067
JY41-5,2514.375,1,149.604,223.473,2.704,3.212
JY41-5,2514.5,1,149.746,224.726,2.703,3.586
JY41-5,2514.625,1,151.69,226.732,2.699,4.221
JY41-5,2514.75,1,156.551,230.062,2.696,4.883
JY41-5,2516,1,179.744,241.529,2.721,4.729
JY41-5,2516.125,1,176.27,238.953,2.718,4.531
JY41-5,2516.25,1,171.798,236.415,2.714,4.442
JY41-5,2516.375,1,168.34,234.147,2.711,4.541
JY41-5,2517.375,1,67.229,194.375,2.721,1.274
JY41-5,2517.5,1,57.202,187.77,2.721,0.999
JY41-5,2517.625,1,54.608,183.86,2.72,0.956
JY41-5,2518,1,59.953,186.926,2.683,0.85
JY41-5,2518.125,1,60.121,189.957,2.667,0.874
JY41-5,2518.25,1,60.273,192.652,2.651,0.905
JY41-5,2518.375,1,61.048,194.865,2.634,0.939
JY41-5,2518.5,1,62.489,196.416,2.621,1.007
JY41-5,2518.625,1,64.5,197.491,2.614,1.117
JY41-5,2518.75,1,68.112,199.014,2.608,1.218
JY41-5,2518.875,1,77.557,201.797,2.604,1.469
JY41-5,2519,1,95.925,206.39,2.609,2.143
JY41-5,2519.125,1,122.782,212.937,2.628,3.214
JY41-5,2519.25,1,150.702,221.363,2.661,4.118
JY41-5,2519.375,1,172.899,230.303,2.693,4.599
JY41-5,2519.5,1,186.824,238.368,2.714,4.674
JY41-5,2519.625,1,194.064,244.451,2.721,4.596
JY41-5,2519.75,1,196.473,248.338,2.723,4.482
JY41-5,2519.875,1,195.612,250.147,2.727,4.352
JY41-5,2520,1,193.074,250.169,2.729,4.23
JY41-5,2520.125,2,188.447,249.275,2.725,4.147
JY41-5,2520.25,2,181.884,247.823,2.716,4.163
JY41-5,2521,2,174.907,238.665,2.703,4.922
JY41-5,2521.125,2,176.183,238.368,2.7,5.1
JY41-5,2521.25,2,177.935,238.672,2.702,5.232
JY41-5,2522.125,2,181.222,242.698,2.709,5.546
JY41-5,2522.25,2,184.508,243.803,2.704,5.512
JY41-5,2522.375,2,187.919,245.654,2.699,5.453
JY41-5,2523.25,2,189.081,253.41,2.716,4.784
