,Well Name,Depth,Facies,GR,AC,DEN,CNL
0,JY11-4,2265.125,4,157.848,220.712,2.722,21.219
1,JY11-4,2265.25,4,158.666,218.015,2.726,18.188
2,JY11-4,2265.375,4,159.859,217.003,2.72,17.333
3,JY11-4,2265.75,4,159.856,221.967,2.693,18.24
4,JY11-4,2265.875,4,159.99,225.382,2.688,18.15
5,JY11-4,2266,4,159.624,228.794,2.684,18.281
6,JY11-4,2266.75,4,159.481,230.419,2.706,20.186
7,JY11-4,2266.875,4,158.711,227.974,2.706,19.641
8,JY11-4,2267,4,157.415,225.114,2.701,18.85
9,JY11-4,2267.625,4,154.93,232.759,2.683,19.231
10,JY11-4,2267.75,4,158.615,235.14,2.681,19.914
11,JY11-4,2267.875,4,162.738,235.912,2.683,19.995
12,JY11-4,2268.625,4,163.259,238.259,2.657,21.431
13,JY11-4,2268.75,4,161.386,238.078,2.658,22.195
14,JY11-4,2268.875,4,160.316,237.593,2.663,22.72
15,JY11-4,2269.625,4,158.366,234.939,2.679,20.294
16,JY11-4,2269.75,4,159.951,234.672,2.686,19.749
17,JY11-4,2269.875,4,162.662,234.889,2.69,19.523
18,JY11-4,2270.75,4,164.481,234.086,2.671,20.6
19,JY11-4,2270.875,4,162.038,234.211,2.669,20.317
20,JY11-4,2271,4,159.34,234.814,2.67,20.209
21,JY11-4,2271.625,4,162.575,241.822,2.697,20.586
22,JY11-4,2271.75,4,162.644,243.424,2.695,21.108
23,JY11-4,2271.875,4,163.555,244.89,2.693,21.255
24,JY11-4,2272.5,4,164.061,251.363,2.696,22.318
25,JY11-4,2272.625,4,162.007,249.104,2.708,22.32
26,JY11-4,2272.75,4,162.149,246.529,2.722,21.224
28,JY11-4,2273.125,5,182.417,249.446,2.726,19.597
29,JY11-4,2273.25,5,184.495,253.503,2.706,20.312
30,JY11-4,2273.375,5,183.122,257.063,2.691,20.635
31,JY11-4,2273.5,5,181.825,258.377,2.685,20.416
32,JY11-4,2273.625,5,181.409,258.895,2.687,20.269
33,JY11-4,2273.75,5,180.309,259.695,2.689,20.595
34,JY11-4,2273.875,5,178.423,260.409,2.689,21.317
35,JY11-4,2274,5,176.88,260.41,2.687,21.786
36,JY11-4,2274.375,4,171.291,261.533,2.699,21.605
37,JY11-4,2274.5,4,170.148,262.113,2.699,22.122
38,JY11-4,2274.625,4,170.607,262.844,2.693,22.436
39,JY11-4,2275.625,4,177.384,261.546,2.685,21.637
40,JY11-4,2275.75,4,176.996,261.43,2.684,22.007
41,JY11-4,2275.875,4,174.653,261.158,2.681,22.379
42,JY11-4,2276.375,4,170.457,266.26,2.688,22.221
43,JY11-4,2276.5,4,171.153,268.807,2.692,22.523
44,JY11-4,2276.625,4,172.41,270.942,2.691,22.748
45,JY11-4,2277.5,4,169.888,269.331,2.682,21.296
46,JY11-4,2277.625,4,167.773,263.57,2.687,21.134
47,JY11-4,2277.75,4,164.226,257.785,2.699,20.847
48,JY11-4,2278.5,4,168.896,270.651,2.696,21.968
49,JY11-4,2278.625,4,168.164,270.273,2.691,21.767
50,JY11-4,2278.75,4,166.007,269.669,2.688,21.052
51,JY11-4,2279.75,4,165.103,264.721,2.668,21.02
52,JY11-4,2279.875,4,165.631,263.647,2.669,21.14
53,JY11-4,2280,4,164.353,262.851,2.672,21.345
54,JY11-4,2281,4,170.103,265.786,2.668,19.88
55,JY11-4,2281.125,4,172.508,267.673,2.665,20.295
56,JY11-4,2281.25,4,175.654,269.241,2.659,20.804
57,JY11-4,2282,4,173.175,266.983,2.661,21.573
58,JY11-4,2282.125,4,171.665,266.275,2.665,21.69
59,JY11-4,2282.25,4,172.004,265.695,2.67,21.35
60,JY11-4,2283,3,174.995,261.051,2.677,19.02
61,JY11-4,2283.125,3,177.342,259.542,2.676,18.373
62,JY11-4,2283.25,3,183.386,257.444,2.673,17.726
63,JY11-4,2283.625,3,197.481,252.389,2.653,16.906
64,JY11-4,2283.75,3,197.213,251.26,2.647,16.901
65,JY11-4,2283.875,3,196.836,251.889,2.642,16.741
66,JY11-4,2285,3,164.452,273.11,2.507,17.648
67,JY11-4,2285.125,3,161.596,283.052,2.447,20.478
68,JY11-4,2285.25,3,158.791,284.242,2.414,23.642
69,JY11-4,2285.5,5,151.744,257.208,2.475,19.852
70,JY11-4,2285.625,5,149.637,234.968,2.537,15.582
71,JY11-4,2285.75,5,148.424,227.431,2.583,13.348
72,JY11-4,2285.875,5,146.667,226.966,2.601,12.961
73,JY11-4,2286,5,143.487,222.629,2.604,13.108
74,JY11-4,2286.125,5,137.622,213.431,2.609,13.097
75,JY11-4,2286.25,5,127.198,203.654,2.627,12.414
76,JY11-4,2286.375,5,113.507,194.178,2.653,11.038
77,JY11-4,2286.5,5,99.762,186.974,2.677,9.485
78,JY11-4,2286.625,5,91.232,186.189,2.689,8.566
79,JY11-4,2286.75,5,89.517,193.297,2.688,8.537
80,JY11-4,2287,4,115.013,235.32,2.642,12.88
81,JY11-4,2287.25,4,137.358,257.743,2.619,17.982
82,JY11-4,2287.375,4,139.107,260.851,2.621,18.541
83,JY11-4,2287.5,4,142.982,263.559,2.622,19.334
84,JY11-4,2287.625,4,149.485,266.861,2.621,20.58
85,JY11-4,2288.75,4,175.295,266.702,2.647,19.284
86,JY11-4,2289,4,173.896,266.398,2.659,19.753
87,JY11-4,2289.125,4,173.91,265.489,2.655,19.522
88,JY11-4,2289.25,4,174.92,264.535,2.649,19.184
89,JY11-4,2289.375,4,176.34,263.425,2.643,18.801
90,JY11-4,2289.625,4,188.559,244.51,2.639,15.989
91,JY11-4,2290.5,4,230.905,267.009,2.616,18.577
92,JY11-4,2290.625,3,231.72,263.816,2.61,17.884
93,JY11-4,2290.75,3,226.221,259.268,2.604,17.179
94,JY11-4,2291,4,194.391,240.299,2.646,13.575
95,JY11-4,2291.125,4,198.053,241.618,2.65,14.257
96,JY11-4,2291.25,4,206.598,246.819,2.65,15.666
97,JY11-4,2291.375,4,192.676,276.221,2.671,19.713
98,JY11-4,2291.625,4,196.519,281.65,2.64,21.324
99,JY11-4,2292.5,4,198.884,289.937,2.624,22.509
100,JY11-4,2292.625,4,199.276,290.707,2.617,22.3
101,JY11-4,2293.75,4,202.439,289.176,2.616,20.158
102,JY11-4,2293.875,4,205.146,287.485,2.617,20.53
103,JY11-4,2294.5,4,183.352,274.199,2.653,18.084
104,JY11-4,2295.125,4,184.55,275.827,2.657,18.268
105,JY11-4,2295.25,4,207.038,292.488,2.625,20.414
106,JY11-4,2295.875,4,191.198,288.088,2.627,19.86
107,JY11-4,2296,4,196.747,288.147,2.644,19.934
108,JY11-4,2297,4,153.892,237.748,2.687,13.277
109,JY11-4,2297.125,4,144.007,234.656,2.682,12.981
110,JY11-4,2297.25,4,153.408,244.324,2.64,14.506
111,JY11-4,2299.125,4,153.868,237.22,2.645,14.828
112,JY11-4,2299.25,4,152.584,236.018,2.649,14.334
113,JY11-4,2299.375,4,144.601,233.366,2.661,13.783
114,JY11-4,2300,4,143.744,233.068,2.658,13.873
115,JY11-4,2300.125,4,140.831,232.61,2.661,14.013
117,JY11-4,2300.875,3,148.899,233.436,2.625,14.35
118,JY11-4,2301,3,148.456,232.837,2.629,14.037
119,JY11-4,2301.125,3,149.76,241.222,2.647,14.143
120,JY11-4,2301.625,3,149.311,241.346,2.648,14.308
121,JY11-4,2301.75,3,148.926,240.264,2.649,14.43
122,JY11-4,2301.875,3,153.795,238.648,2.647,14.365
123,JY11-4,2302.875,4,154.394,240.498,2.646,14.332
124,JY11-4,2303,4,155.773,242.861,2.643,14.597
125,JY11-4,2303.125,4,156.869,244.405,2.638,14.913
126,JY11-4,2303.875,4,156.614,245.279,2.633,14.972
127,JY11-4,2304,4,155.87,245.825,2.627,14.75
128,JY11-4,2304.125,4,155.477,245.856,2.622,14.375
129,JY11-4,2304.75,3,156.749,245.55,2.619,13.992
130,JY11-4,2304.875,3,159.43,245.025,2.619,13.721
131,JY11-4,2305,3,161.593,243.657,2.623,13.681
132,JY11-4,2305.875,4,160.766,241.068,2.628,13.755
133,JY11-4,2306,4,156.531,237.795,2.636,13.709
134,JY11-4,2306.125,4,151.433,235.002,2.645,13.424
135,JY11-4,2307,4,149.198,233.557,2.652,13.066
136,JY11-4,2307.125,4,151.132,234.067,2.652,12.892
137,JY11-4,2307.25,4,156.826,236.277,2.647,13.075
138,JY11-4,2307.375,4,162.899,239.164,2.64,13.52
139,JY11-4,2307.5,4,166.481,241.32,2.636,13.968
140,JY11-4,2307.625,4,167.077,242.35,2.634,14.106
141,JY11-4,2307.75,4,166.698,242.633,2.634,13.897
142,JY11-4,2307.875,4,158.243,241.83,2.632,13.413
143,JY11-4,2308,4,154.257,241.027,2.632,13.804
144,JY11-4,2308.125,4,152.184,239.881,2.636,14.246
145,JY11-4,2308.25,4,149.925,234.669,2.634,13.876
146,JY11-4,2308.375,4,152.562,236.069,2.635,13.681
147,JY11-4,2308.5,4,154.054,238.551,2.635,13.795
148,JY11-4,2308.625,4,156.777,244.683,2.626,14.578
149,JY11-4,2308.75,4,159.148,247.228,2.622,14.722
150,JY11-4,2308.875,4,161.285,248.519,2.62,14.539
151,JY11-4,2309,4,162.185,248.682,2.617,14.226
152,JY11-4,2309.125,4,162.264,248.418,2.612,14.038
154,JY11-4,2309.375,4,162.331,240.733,2.615,13.957
155,JY11-4,2309.875,4,163.005,239.587,2.617,13.874
156,JY11-4,2310,4,162.535,239.412,2.617,13.828
157,JY11-4,2310.125,4,214.533,249.866,2.645,16.975
158,JY11-4,2310.75,4,223.144,246.406,2.649,16.799
159,JY11-4,2310.875,4,218.058,241.36,2.652,15.681
160,JY11-4,2311,4,170.755,241.451,2.625,14.683
161,JY11-4,2311.625,4,173.461,240.528,2.632,15.227
162,JY11-4,2311.75,4,175.602,239.085,2.63,15.17
163,JY11-4,2311.875,4,178.363,238.04,2.628,14.698
164,JY11-4,2312.375,3,179.257,236.032,2.629,14.196
165,JY11-4,2312.5,3,177.016,234.305,2.63,13.983
166,JY11-4,2312.625,3,172.866,234.067,2.627,14.063
167,JY11-4,2313.5,3,169.885,234.033,2.619,14.239
168,JY11-4,2313.625,3,163.122,245.269,2.62,16.123
169,JY11-4,2313.75,3,164.722,245.513,2.631,15.756
170,JY11-4,2314.625,4,165.655,245.628,2.641,15.227
171,JY11-4,2314.75,4,163.354,237.989,2.623,14.939
172,JY11-4,2314.875,4,163.965,238.676,2.624,14.712
173,JY11-4,2315,4,165.205,239.877,2.628,14.54
174,JY11-4,2315.125,4,156.273,237.38,2.644,14.409
175,JY11-4,2315.25,4,156.191,235.604,2.651,14.142
176,JY11-4,2315.375,4,155.07,232.663,2.659,13.629
177,JY11-4,2315.5,4,161.454,238.713,2.66,14.409
178,JY11-4,2315.625,4,164.328,241.12,2.655,14.766
179,JY11-4,2315.75,4,163.985,241.032,2.653,14.65
180,JY11-4,2315.875,4,160.193,238.127,2.627,14.017
181,JY11-4,2316.75,3,160.856,237.507,2.627,13.713
182,JY11-4,2316.875,3,162.622,236.828,2.63,13.499
183,JY11-4,2317,3,157.995,243.378,2.641,13.744
184,JY11-4,2317.75,3,160.327,243.024,2.633,13.831
185,JY11-4,2317.875,3,162.228,240.052,2.628,13.865
186,JY11-4,2318,3,169.966,260.624,2.613,15.14
187,JY11-4,2318.75,3,167.504,263.382,2.613,14.763
188,JY11-4,2318.875,3,166.597,266.186,2.615,14.536
189,JY11-4,2319,3,178.419,270.606,2.616,15.748
190,JY11-4,2319.625,3,180.344,270.149,2.608,15.96
191,JY11-4,2319.75,3,177.43,268.891,2.602,15.859
192,JY11-4,2319.875,3,172.414,271.85,2.605,16.072
193,JY11-4,2320.875,4,171.81,270.648,2.603,16.687
194,JY11-4,2321,4,169.281,269.024,2.602,16.896
195,JY11-4,2321.125,4,166.736,266.175,2.605,15.428
196,JY11-4,2322.375,3,167.894,266.695,2.602,15.444
197,JY11-4,2322.5,3,168.561,267.001,2.599,15.605
198,JY11-4,2322.625,3,169.127,267.728,2.618,15.026
199,JY11-4,2323.875,3,168.774,267.358,2.609,14.724
200,JY11-4,2324,3,166.464,266.161,2.598,14.697
201,JY11-4,2324.125,3,163.085,263.835,2.591,15.265
202,JY11-4,2324.625,4,163.573,263.887,2.593,15.223
203,JY11-4,2324.75,4,164.119,264.41,2.594,14.959
204,JY11-4,2324.875,4,164.015,264.835,2.592,14.72
205,JY11-4,2326.125,4,163.905,264.559,2.592,14.634
206,JY11-4,2326.25,4,164.123,263.51,2.596,14.721
207,JY11-4,2326.375,4,163.809,262.657,2.606,14.941
208,JY11-4,2327,3,163.1,262.497,2.614,15.213
209,JY11-4,2327.125,3,162.834,262.397,2.613,15.412
210,JY11-4,2327.25,3,165.279,262.636,2.593,15.197
211,JY11-4,2328.125,3,166.6,262.389,2.584,14.898
212,JY11-4,2328.25,3,167.408,261.522,2.577,14.722
213,JY11-4,2328.375,5,175.077,263.683,2.571,14.491
214,JY11-4,2328.625,5,176.341,264.705,2.57,14.269
215,JY11-4,2328.75,5,178.067,266.093,2.57,14.421
216,JY11-4,2328.875,5,179.01,270.227,2.57,14.849
217,JY11-4,2329,5,180.449,270.77,2.567,14.671
218,JY11-4,2329.125,5,180.047,269.798,2.566,14.55
219,JY11-4,2329.25,5,198.448,270.63,2.587,16.378
220,JY11-4,2329.375,5,206.855,268.563,2.594,15.977
221,JY11-4,2329.5,5,216.506,266.748,2.601,14.845
222,JY11-4,2329.625,5,181.873,255.288,2.586,13.153
223,JY11-4,2329.875,3,184.478,253.087,2.585,12.73
224,JY11-4,2330,3,194.863,254.481,2.585,12.851
225,JY11-4,2330.125,3,206.087,271.189,2.603,16.521
226,JY11-4,2330.875,3,205.397,271.861,2.601,16.539
227,JY11-4,2331,3,207.143,272.663,2.598,16.576
228,JY11-4,2331.125,3,196.362,260.902,2.607,16.333
229,JY11-4,2332.5,3,192.422,257.624,2.613,16.053
230,JY11-4,2332.625,3,188.826,253.416,2.617,15.58
231,JY11-4,2332.75,3,179.002,243.366,2.616,13.79
232,JY11-4,2333.375,3,177.646,242.935,2.619,13.552
233,JY11-4,2333.5,3,178.672,244.103,2.619,13.493
234,JY11-4,2333.625,3,179.444,240.697,2.617,12.662
235,JY11-4,2334.375,3,182.431,239.975,2.617,12.839
236,JY11-4,2334.5,3,182.045,239.408,2.617,12.946
237,JY11-4,2334.625,3,172.97,234.333,2.635,12.029
238,JY11-4,2335.375,4,173.468,233.847,2.627,12.038
239,JY11-4,2335.5,4,173.38,236.201,2.612,12.033
240,JY11-4,2335.625,4,166.064,241.368,2.588,11.888
241,JY11-4,2336.5,3,170.419,240.527,2.586,11.811
242,JY11-4,2336.625,3,172.534,239.605,2.583,11.853
243,JY11-4,2336.75,3,198.556,253.737,2.617,14.963
244,JY11-4,2337.125,3,197.41,253.592,2.614,14.562
245,JY11-4,2337.25,3,192.841,251.304,2.611,13.773
247,JY11-4,2338.25,4,191.513,243.541,2.584,12.422
248,JY11-4,2338.375,4,195.9,245.708,2.573,12.856
249,JY11-4,2338.5,4,202.469,252.7,2.572,12.13
250,JY11-4,2339.625,3,200.515,251.951,2.569,12.163
251,JY11-4,2339.75,3,200.661,251.757,2.567,12.303
252,JY11-4,2339.875,3,203.276,256.572,2.572,12.264
253,JY11-4,2341.25,3,202.268,255.609,2.569,12.144
254,JY11-4,2341.375,3,198.601,254.336,2.567,12.315
255,JY11-4,2341.5,3,192.571,252.486,2.561,13.719
256,JY11-4,2342.125,3,196.875,253.184,2.558,13.806
257,JY11-4,2342.25,3,201.49,254.494,2.557,13.43
258,JY11-4,2342.375,3,204.439,255.558,2.56,12.901
259,JY11-4,2343.125,3,204.158,255.435,2.563,12.552
260,JY11-4,2343.25,3,199.854,253.041,2.566,12.339
261,JY11-4,2343.375,3,191.476,248.557,2.569,11.965
262,JY11-4,2344.25,3,182.745,245.123,2.572,11.355
263,JY11-4,2344.375,3,177.904,244.055,2.576,10.909
264,JY11-4,2344.5,3,180.647,244.524,2.577,10.898
265,JY11-4,2345.375,3,189.015,246.284,2.578,11.27
266,JY11-4,2345.5,3,200.906,249.611,2.585,11.586
267,JY11-4,2345.625,3,196.245,248.016,2.591,11.429
268,JY11-4,2346,5,191.263,247.132,2.597,11.581
269,JY11-4,2346.125,5,206.914,252.55,2.583,11.818
270,JY11-4,2346.25,5,207.291,251.464,2.577,11.545
271,JY11-4,2346.375,5,203.996,248.337,2.574,11.574
272,JY11-4,2346.5,5,203.621,256.037,2.543,13.148
273,JY11-4,2346.625,5,203.081,256.178,2.547,13.112
274,JY11-4,2346.75,5,201.408,256.412,2.547,12.837
275,JY11-4,2346.875,5,195.862,257.427,2.532,12.815
276,JY11-4,2347,5,193.378,257.677,2.533,12.6
277,JY11-4,2347.125,5,195.024,257.572,2.532,12.2
278,JY11-4,2347.25,5,172.133,249.371,2.538,10.923
279,JY11-4,2347.625,3,174.314,249.049,2.543,11.057
280,JY11-4,2347.75,3,175.692,247.99,2.544,10.924
281,JY11-4,2347.875,3,167.934,246.477,2.543,11.862
282,JY11-4,2348.5,3,171.757,245.444,2.531,11.41
283,JY11-4,2348.625,3,176.881,244.913,2.52,10.734
284,JY11-4,2348.75,3,197.305,245.833,2.505,9.876
285,JY11-4,2350.125,3,196.232,247.136,2.504,9.892
286,JY11-4,2350.25,3,196.303,249.751,2.507,10.266
287,JY11-4,2350.375,3,216.699,251.314,2.487,11.035
288,JY11-4,2351.125,3,218.656,252.587,2.491,11.216
289,JY11-4,2351.25,3,217.274,253.937,2.496,11.293
290,JY11-4,2351.375,3,337.253,264.497,2.477,13.669
291,JY11-4,2352.25,3,356.106,258.039,2.472,13.389
292,JY11-4,2352.375,3,343.032,246.535,2.488,12.503
293,JY11-4,2352.5,3,195.852,257.657,2.524,12.77
294,JY11-4,2353.25,3,190.887,255.75,2.511,12.363
295,JY11-4,2353.375,3,183.363,250.557,2.503,11.274
296,JY11-4,2353.5,3,180.706,244.078,2.519,10.201
297,JY11-4,2354.375,3,177.142,245.377,2.508,9.425
298,JY11-4,2354.5,3,181.327,246.697,2.499,9.398
299,JY11-4,2354.625,3,181.015,252.122,2.498,11.434
300,JY11-4,2355.625,3,174.749,249.314,2.498,10.891
301,JY11-4,2355.75,3,166.82,247.208,2.495,10.204
302,JY11-4,2355.875,3,120.891,258.705,2.56,15.3
303,JY11-4,2356.75,3,123.442,260.115,2.56,15.311
304,JY11-4,2356.875,3,130.404,263.127,2.555,15.373
305,JY11-4,2357,3,177.772,282.766,2.543,17.732
306,JY41-5,2494.5,4,165.888,238.551,2.742,18.609
307,JY41-5,2494.625,4,164.232,238.706,2.745,18.517
308,JY41-5,2496.625,3,164.439,238.303,2.723,17.359
309,JY41-5,2496.75,3,165.382,240.761,2.731,19.685
310,JY41-5,2496.875,3,165.65,242.55,2.738,21.029
311,JY41-5,2520.125,4,188.447,249.275,2.725,21.748
312,JY41-5,2520.25,4,181.884,247.823,2.716,19.892
313,JY41-5,2521,4,174.907,238.665,2.703,17.194
314,JY41-5,2521.125,4,176.183,238.368,2.7,17.181
315,JY41-5,2521.25,4,177.935,238.672,2.702,17.483
316,JY41-5,2522.125,4,181.222,242.698,2.709,19.511
317,JY41-5,2522.25,4,184.508,243.803,2.704,19.379
318,JY41-5,2522.375,4,187.919,245.654,2.699,19.4
319,JY41-5,2523.25,4,189.081,253.41,2.716,20.6
320,JY41-5,2523.375,4,191.613,253.397,2.718,20.88
321,JY41-5,2523.5,4,194.113,253.462,2.716,20.9
322,JY41-5,2524.25,4,186.462,254.463,2.701,20.818
323,JY41-5,2524.375,4,183.164,254.525,2.709,20.741
324,JY41-5,2524.5,4,182.628,254.347,2.72,20.658
325,JY41-5,2525.125,4,174.938,251.576,2.703,21.156
326,JY41-5,2525.25,4,175.701,251.445,2.705,20.67
327,JY41-5,2525.375,4,176.596,251.55,2.71,20.224
328,JY41-5,2526.125,4,178.725,254.019,2.728,20.25
329,JY41-5,2526.25,4,180.339,254.521,2.731,20.893
330,JY41-5,2526.375,4,183.28,255.012,2.735,21.529
331,JY41-5,2527.125,4,181.617,255.457,2.72,20.906
332,JY41-5,2527.25,4,179.41,254.761,2.716,20.503
333,JY41-5,2527.375,4,177.695,253.873,2.715,20.45
334,JY41-5,2528,4,178.108,250.025,2.723,20.761
335,JY41-5,2528.125,4,175.971,249.991,2.719,20.25
336,JY41-5,2528.25,4,175.205,250.204,2.714,20.031
337,JY41-5,2528.875,4,182.537,249.494,2.716,19.519
338,JY41-5,2529,4,178.026,248.254,2.714,20.092
339,JY41-5,2529.125,4,172.929,246.999,2.718,20.226
340,JY41-5,2529.75,4,179.54,247.462,2.726,21.053
341,JY41-5,2529.875,4,180.642,248.073,2.725,21.299
342,JY41-5,2530,4,180.674,248.408,2.723,20.965
343,JY41-5,2530.625,4,178.624,249.629,2.731,19.956
344,JY41-5,2530.75,4,177.418,250.406,2.728,19.219
345,JY41-5,2530.875,4,177.107,251.216,2.727,18.727
346,JY41-5,2531.375,4,184.077,252.736,2.717,21.149
347,JY41-5,2531.5,4,184.536,252.677,2.715,21.433
348,JY41-5,2531.625,4,185.313,252.583,2.718,21.622
349,JY41-5,2532.375,4,181.358,253.602,2.726,20.768
350,JY41-5,2532.5,4,178.836,253.917,2.729,20.543
351,JY41-5,2532.625,4,177.019,254.249,2.732,19.989
352,JY41-5,2533.25,4,176.368,255.209,2.748,22.22
353,JY41-5,2533.375,4,178.819,255.004,2.746,21.306
354,JY41-5,2533.5,4,180.659,254.698,2.742,20.152
355,JY41-5,2534,4,187.24,253.679,2.742,20.76
356,JY41-5,2534.125,4,186.378,253.541,2.733,20.938
357,JY41-5,2534.25,4,183.233,253.293,2.724,20.942
358,JY41-5,2534.875,4,177.201,251.546,2.725,20.646
359,JY41-5,2535,4,174.544,252.181,2.721,21.156
360,JY41-5,2535.125,4,173.179,253.212,2.714,21.792
361,JY41-5,2535.875,4,182.827,255.4,2.699,20.677
